Jurisdiction,Week of Allocations,1st Dose Allocations,2nd Dose Allocations
Micronesia,6/7/21,0,0
Mariana Islands,6/7/21,0,0
Palau,6/7/21,0,0
Alaska,6/7/21,"16,830","16,830"
Idaho,6/7/21,"25,110","25,110"
Oregon,6/7/21,"62,190","62,190"
Washington,6/7/21,"109,170","109,170"
Federal Entities,6/7/21,"219,060","219,060"
Connecticut,5/31/21,"54,360","54,360"
Maine,5/31/21,"21,420","21,420"
Massachusetts,5/31/21,"104,580","104,580"
New Hampshire,5/31/21,"21,420","21,420"
Rhode Island,5/31/21,"17,280","17,280"
Vermont,5/31/21,"11,070","11,070"
New Jersey,5/31/21,"132,210","132,210"
New York,5/31/21,"167,670","167,670"
New York City,5/31/21,"128,070","128,070"
Puerto Rico,5/31/21,"52,290","52,290"
U.S. Virgin Islands,5/31/21,"3,240","3,240"
Delaware,5/31/21,"15,210","15,210"
District of Columbia,5/31/21,"11,520","11,520"
Maryland,5/31/21,"89,370","89,370"
Pennsylvania,5/31/21,"170,460","170,460"
Philadelphia,5/31/21,"24,660","24,660"
Virginia,5/31/21,"126,000","126,000"
West Virginia,5/31/21,"28,800","28,800"
Alabama,5/31/21,"72,090","72,090"
Florida,5/31/21,"314,640","314,640"
Georgia,5/31/21,"149,490","149,490"
Kentucky,5/31/21,"65,880","65,880"
Mississippi,5/31/21,"44,460","44,460"
North Carolina,5/31/21,"149,940","149,940"
South Carolina,5/31/21,"74,160","74,160"
Tennessee,5/31/21,"98,820","98,820"
Chicago,5/31/21,"40,770","40,770"
Illinois,5/31/21,"149,490","149,490"
Indiana,5/31/21,"97,200","97,200"
Michigan,5/31/21,"147,870","147,870"
Minnesota,5/31/21,"81,540","81,540"
Ohio,5/31/21,"172,530","172,530"
Wisconsin,5/31/21,"85,680","85,680"
Arkansas,5/31/21,"44,460","44,460"
Louisiana,5/31/21,"69,120","69,120"
New Mexico,5/31/21,"32,490","32,490"
Oklahoma,5/31/21,"57,600","57,600"
Texas,5/31/21,"393,660","393,660"
Iowa,5/31/21,"46,530","46,530"
Kansas,5/31/21,"42,390","42,390"
Missouri,5/31/21,"89,820","89,820"
Nebraska,5/31/21,"28,800","28,800"
Colorado,5/31/21,"82,710","82,710"
Montana,5/31/21,"16,830","16,830"
North Dakota,5/31/21,"11,520","11,520"
South Dakota,5/31/21,"13,140","13,140"
Utah,5/31/21,"41,220","41,220"
Wyoming,5/31/21,"9,450","9,450"
Arizona,5/31/21,"102,510","102,510"
California,5/31/21,"575,640","575,640"
Hawaii,5/31/21,"22,590","22,590"
Nevada,5/31/21,"42,840","42,840"
American Samoa,5/31/21,0,0
Guam,5/31/21,0,0
Marshall Islands,5/31/21,0,0
Micronesia,5/31/21,0,0
Mariana Islands,5/31/21,0,0
Palau,5/31/21,0,0
Alaska,5/31/21,"16,830","16,830"
Idaho,5/31/21,"25,110","25,110"
Oregon,5/31/21,"62,190","62,190"
Washington,5/31/21,"109,170","109,170"
Federal Entities,5/31/21,"218,790","218,790"
Connecticut,5/24/21,"54,990","54,990"
Maine,5/24/21,"21,060","21,060"
Massachusetts,5/24/21,"105,300","105,300"
New Hampshire,5/24/21,"21,060","21,060"
Rhode Island,5/24/21,"16,380","16,380"
Vermont,5/24/21,"10,530","10,530"
New Jersey,5/24/21,"132,210","132,210"
New York,5/24/21,"168,480","168,480"
New York City,5/24/21,"128,700","128,700"
Puerto Rico,5/24/21,"52,650","52,650"
U.S. Virgin Islands,5/24/21,"2,340","2,340"
Delaware,5/24/21,"15,210","15,210"
District of Columbia,5/24/21,"11,700","11,700"
